category,sport,name,img_url
frame,Tennis,Tokyo2020 PictogramTennisFrame.svg,https://static.wikia.nocookie.net/logopedia/images/9/9c/Tokyo2020_PictogramTennisFrame.svg
frame,Trampoline Gymnastics,Tokyo2020 PictogramTrampolineGymnasticsFrame.svg,https://static.wikia.nocookie.net/logopedia/images/6/68/Tokyo2020_PictogramTrampolineGymnasticsFrame.svg
frame,Triathlon,Tokyo2020 PictogramTriathlonFrame.svg,https://static.wikia.nocookie.net/logopedia/images/2/26/Tokyo2020_PictogramTriathlonFrame.svg
frame,Volleyball,Tokyo2020 PictogramVolleyballFrame.svg,https://static.wikia.nocookie.net/logopedia/images/c/cb/Tokyo2020_PictogramVolleyballFrame.svg
frame,Water Polo,Tokyo2020 PictogramWaterPoloFrame.svg,https://static.wikia.nocookie.net/logopedia/images/8/86/Tokyo2020_PictogramWaterPoloFrame.svg
frame,Weightlifting,Tokyo2020 PictogramWeightliftingFrame.svg,https://static.wikia.nocookie.net/logopedia/images/3/3d/Tokyo2020_PictogramWeightliftingFrame.svg
frame,Wrestling,Tokyo2020 PictogramWrestlingFrame.svg,https://static.wikia.nocookie.net/logopedia/images/e/eb/Tokyo2020_PictogramWrestlingFrame.svg
kinetic,3X3 Basketball,Tokyo2020 Pictogram3X3BasketballKinetic.gif,https://static.wikia.nocookie.net/logopedia/images/f/f9/Tokyo2020_Pictogram3X3BasketballKinetic.gif
kinetic,Archery,Tokyo2020 PictogramArcheryKinetic.gif,https://static.wikia.nocookie.net/logopedia/images/e/e4/Tokyo2020_PictogramArcheryKinetic.gif
kinetic,Artistic Gymnastics,Tokyo2020 PictogramArtisticGymnasticsKinetic.gif,https://static.wikia.nocookie.net/logopedia/images/7/74/Tokyo2020_PictogramArtisticGymnasticsKinetic.gif
kinetic,Artistic Swimming,Tokyo2020 PictogramArtisticSwimmingKinetic.gif,https://static.wikia.nocookie.net/logopedia/images/a/a7/Tokyo2020_PictogramArtisticSwimmingKinetic.gif
kinetic,Athletics,Tokyo2020 PictogramAthleticsKinetic.gif,https://static.wikia.nocookie.net/logopedia/images/f/ff/Tokyo2020_PictogramAthleticsKinetic.gif
kinetic,Badminton,Tokyo2020 PictogramBadmintonKinetic.gif,https://static.wikia.nocookie.net/logopedia/images/0/08/Tokyo2020_PictogramBadmintonKinetic.gif
kinetic,Baseball,Tokyo2020 PictogramBaseballKinetic.gif,https://static.wikia.nocookie.net/logopedia/images/2/27/Tokyo2020_PictogramBaseballKinetic.gif
kinetic,Softball,Tokyo2020 PictogramSoftballKinetic.gif,https://static.wikia.nocookie.net/logopedia/images/1/10/Tokyo2020_PictogramSoftballKinetic.gif
kinetic,Basketball,Tokyo2020 PictogramBasketballKinetic.gif,https://static.wikia.nocookie.net/logopedia/images/2/20/Tokyo2020_PictogramBasketballKinetic.gif
kinetic,Beach Volleyball,Tokyo2020 PictogramBeachVolleyballKinetic.gif,https://static.wikia.nocookie.net/logopedia/images/0/06/Tokyo2020_PictogramBeachVolleyballKinetic.gif
kinetic,Boxing,Tokyo2020 PictogramBoxingKinetic.gif,https://static.wikia.nocookie.net/logopedia/images/1/1b/Tokyo2020_PictogramBoxingKinetic.gif
kinetic,Canoe Slalom,Tokyo2020 PictogramCanoeSlalomKinetic.gif,https://static.wikia.nocookie.net/logopedia/images/7/73/Tokyo2020_PictogramCanoeSlalomKinetic.gif
kinetic,Canoe Sprint,Tokyo2020 PictogramCanoeSprintKinetic.gif,https://static.wikia.nocookie.net/logopedia/images/0/01/Tokyo2020_PictogramCanoeSprintKinetic.gif
kinetic,Cycling BMX Freestyle,Tokyo2020 PictogramCyclingBMXFreestyleKinetic.gif,https://static.wikia.nocookie.net/logopedia/images/c/cf/Tokyo2020_PictogramCyclingBMXFreestyleKinetic.gif
kinetic,Cycling BMX Racing,Tokyo2020 PictogramCyclingBMXRacingKinetic.gif,https://static.wikia.nocookie.net/logopedia/images/a/ae/Tokyo2020_PictogramCyclingBMXRacingKinetic.gif
kinetic,Cycling Mountain Bike,Tokyo2020 PictogramCyclingMountainBikeKinetic.gif,https://static.wikia.nocookie.net/logopedia/images/7/7d/Tokyo2020_PictogramCyclingMountainBikeKinetic.gif
kinetic,Cycling Road,Tokyo2020 PictogramCyclingRoadKinetic.gif,https://static.wikia.nocookie.net/logopedia/images/b/bf/Tokyo2020_PictogramCyclingRoadKinetic.gif
kinetic,Cycling Track,Tokyo2020 PictogramCyclingTrackKinetic.gif,https://static.wikia.nocookie.net/logopedia/images/1/15/Tokyo2020_PictogramCyclingTrackKinetic.gif
kinetic,Diving,Tokyo2020 PictogramDivingKinetic.gif,https://static.wikia.nocookie.net/logopedia/images/8/85/Tokyo2020_PictogramDivingKinetic.gif
kinetic,Dressage<br>Equestrian,Tokyo2020 PictogramEquestrianDressageKinetic.gif,https://static.wikia.nocookie.net/logopedia/images/5/5e/Tokyo2020_PictogramEquestrianDressageKinetic.gif
kinetic,Jumping<br>Equestrian,Tokyo2020 PictogramEquestrianJumpingKinetic.gif,https://static.wikia.nocookie.net/logopedia/images/8/87/Tokyo2020_PictogramEquestrianJumpingKinetic.gif
kinetic,Evening<br>Equestrian,Tokyo2020 PictogramEquestrianEventingKinetic.gif,https://static.wikia.nocookie.net/logopedia/images/1/1e/Tokyo2020_PictogramEquestrianEventingKinetic.gif
kinetic,Fencing,Tokyo2020 PictogramFencingKinetic.gif,https://static.wikia.nocookie.net/logopedia/images/2/27/Tokyo2020_PictogramFencingKinetic.gif
kinetic,Football,Tokyo2020 PictogramFootballKinetic.gif,https://static.wikia.nocookie.net/logopedia/images/4/42/Tokyo2020_PictogramFootballKinetic.gif
kinetic,Golf,Tokyo2020 PictogramGolfKinetic.gif,https://static.wikia.nocookie.net/logopedia/images/c/cf/Tokyo2020_PictogramGolfKinetic.gif
kinetic,Handball,Tokyo2020 PictogramHandballKinetic.gif,https://static.wikia.nocookie.net/logopedia/images/9/96/Tokyo2020_PictogramHandballKinetic.gif
kinetic,Hockey,Tokyo2020 PictogramHockeyKinetic.gif,https://static.wikia.nocookie.net/logopedia/images/a/a9/Tokyo2020_PictogramHockeyKinetic.gif
kinetic,Judo,Tokyo2020 PictogramJudoKinetic.gif,https://static.wikia.nocookie.net/logopedia/images/3/35/Tokyo2020_PictogramJudoKinetic.gif
kinetic,Kata<br>Karate,Tokyo2020 PictogramKarateKataKinetic.gif,https://static.wikia.nocookie.net/logopedia/images/e/ea/Tokyo2020_PictogramKarateKataKinetic.gif
kinetic,Kumite<br>Karate,Tokyo2020 PictogramKarateKumiteKinetic.gif,https://static.wikia.nocookie.net/logopedia/images/4/47/Tokyo2020_PictogramKarateKumiteKinetic.gif
kinetic,Marathon Swimming,Tokyo2020 PictogramMarathonSwimmingKinetic.gif,https://static.wikia.nocookie.net/logopedia/images/5/5e/Tokyo2020_PictogramMarathonSwimmingKinetic.gif
